point_id,pointname,office_id,latitude,longitude,address
2035,後山,99,359658,1380611,諏訪市大字湖南字大助
2036,藤沢,99,358650,1380977,長野県上伊那郡高遠町大字長藤
2037,中沢,99,357169,1380394,駒ヶ根市中沢字曲り沢
2038,田切,99,356794,1378911,長野県上伊那郡飯島町大字飯島字横根山
2039,佐原,99,355325,1379383,長野県下伊那郡豊丘村神稲
2040,上久堅,99,354538,1378958,飯田市上久堅
2041,北沢,99,357391,1382166,---
2042,屋敷沢,99,357702,1381425,---
2043,荒川,99,356150,1381583,---
2044,小瀬戸湯,99,356541,1381341,---
2045,塩平,99,356997,1381297,---
2046,非持,99,358100,1380850,---
2047,松の田,99,355211,1380855,---
2048,上野々,99,355105,1380219,---
2049,沢井,99,355877,1380861,---
2050,鹿塩,99,356386,1380611,---
2051,四徳,99,356491,1380097,---
2052,小渋ダム,99,356022,1379805,---
2053,平田,32,346936,1380844,菊川市嶺田（平田出）
2054,河城,32,347602,1381158,菊川市和田上ノ原
2055,金谷,21,348169,1381180,島田市菊川国原
2056,丹野,32,347252,1381380,菊川市丹野奥原
2057,入山瀬,32,347100,1380352,掛川市上土方落合
2062,津具,99,351711,1376119,愛知県北設楽郡津具村大字上泙野
2063,坂宇場,99,351761,1376838,愛知県北設楽郡豊根村大字坂宇宮島
2064,粟世,99,351822,1377313,愛知県北設楽郡豊根村大字三沢字水口
2066,新豊根ダム,99,351205,1377630,
2067,振草,99,350941,1376525,愛知県北設楽郡東栄町振草字上栗代休石
2068,長島ダム,21,351644,1381597,榛原郡川根本町犬間
2070,千枚,20,354494,1382150,静岡市葵区井川
2071,畑薙,20,353236,1381744,静岡市葵区井川
2072,小河内,20,353022,1382769,静岡市葵区井川
2073,井川,20,352050,1382000,静岡市葵区井川
2075,藤平,30,349033,1377708,浜松市天竜区西藤平字落合
2078,田口,99,350883,1375658,愛知県北設楽郡設楽町大字田口字シウキ
2079,豊邦,99,350716,1374727,愛知県北設楽郡設楽町豊邦字細野
2080,高里,99,349688,1374347,愛知県北設楽郡作手村大字鴨ヶ谷字シガノオ
2081,布里,99,349833,1375258,愛知県南設楽郡鳳来町布里字栗峰
2082,川合,99,349986,1376677,愛知県南設楽郡鳳来町川合字内貝津
2083,山吉田,99,348988,1376058,愛知県南設楽郡鳳来町上吉田字山本
2084,石田,99,348877,1374963,新城市庭野字萩野
2085,豊橋,99,347327,1373791,---
2087,槍ヶ入,99,353511,1375722,---
2088,上矢作,99,353036,1375063,---
2089,平谷,99,353194,1376341,---
2092,矢作ダム,99,352330,1374211,---
2094,道慈,99,352405,1372616,愛知県西加茂郡千洗町道慈
2096,乙部,99,351486,1371580,豊田市乙部字沖の田1
2099,岡崎,99,349561,1371536,---
2100,桜形,99,349861,1373175,愛知県額田郡額田町大字桜形字市場
2101,宮崎,99,349333,1373619,愛知県額田郡額田町大字宮崎字亀穴
2102,釜無,99,358638,1382283,長野県諏訪郡富士見町落合
2103,小渕沢,99,358547,1383200,山梨県北巨摩郡小淵沢町字渕子
2104,藤田,99,355833,1384833,山梨県南アルプス市藤田
2105,下部,99,354436,1384827,山梨県身延町常葉
2106,睦合,99,352844,1384575,山梨県南巨摩郡南部町南部
2107,松岡,99,351508,1386319,富士市松岡
2108,野呂川,99,356425,1382991,山梨県南アルプス市芦安戸倉
2109,夜叉神,99,355352,1383400,山梨県南アルプス市芦安芦倉
2110,硯島,99,354055,1383350,山梨県南巨摩郡早川町雨畑
2111,浅川,99,358694,1384566,山梨県北杜市高根町浅川
2112,増富,99,358716,1385052,山梨県北杜市須玉町小尾
2113,三富,99,357722,1387388,山梨県山梨市三富村
2114,甲府,99,356725,1385722,山梨県甲府市緑ヶ丘
2115,石和,99,356500,1386333,山梨県笛吹市石和町八田
2116,市川大門,99,355583,1384916,山梨県西八代郡市川大門町
2117,神金,99,357088,1387761,山梨県塩山市下小田原
2118,黒駒,99,356000,1387166,山梨県笛吹市御坂町上黒駒
